anon_id,year,TPpW,percentage_RT,RTpW,TpW,NDLW,classification
user_1,2020,20000,97,19400,600,1,Inorganic
user_2,2018,19000,100,19000,0,2,Inorganic
user_3,2010,18000,99,17820,180,2,Inorganic
user_4,2012,17000,100,17000,0,1,Inorganic
user_5,2016,15000,89,13350,1650,2,Inorganic
user_6,2015,13000,97,12610,390,1,Inorganic
user_7,2017,11000,99,10890,110,1,Inorganic
user_8,2012,10000,92,9200,800,1,Inorganic
user_9,2018,9600,98,9408,192,1,Inorganic
user_10,2014,7700,92,7084,616,1,Inorganic
user_11,2013,7300,84,6132,1168,1,Inorganic
user_12,2017,6700,83,5561,1139,1,Inorganic
user_13,2012,6300,100,6300,0,1,Inorganic
user_14,2010,5700,60,3420,2280,1,Inorganic
user_15,2012,5500,92,5060,440,1,Inorganic
user_16,2015,5400,83,4482,918,1,Inorganic
user_17,2011,4900,94,4606,294,1,Inorganic
user_18,2011,4900,71,3479,1421,1,Inorganic
user_19,2014,4800,99,4752,48,1,Inorganic
user_20,2011,4800,87,4176,624,1,Inorganic
user_21,2011,4700,95,4465,235,1,Inorganic
user_22,2017,4300,88,3784,516,1,Inorganic
user_23,2019,4200,85,3570,630,1,Inorganic
user_24,2009,4000,100,4000,0,1,Inorganic
user_25,2019,4000,99,3960,40,1,Inorganic
user_26,2012,3800,100,3800,0,1,Inorganic
user_27,2010,3500,100,3500,0,2,Inorganic
user_28,2020,3300,98,3234,66,1,Inorganic
user_29,2011,3200,81,2592,608,1,Inorganic
user_30,2014,3100,81,2511,589,1,Inorganic
user_31,2012,3000,89,2670,330,1,Inorganic
user_32,2010,2800,100,2800,0,1,Inorganic
user_33,2016,2800,100,2800,0,1,Inorganic
user_34,2016,2700,97,2619,81,1,Inorganic
user_35,2015,2700,68,1836,864,1,Inorganic
user_36,2017,2600,99,2574,26,1,Inorganic
user_37,2020,2600,98,2548,52,1,Inorganic
user_38,2018,2500,100,2500,0,1,Inorganic
user_39,2015,2500,98,2450,50,2,Inorganic
user_40,2020,2500,91,2275,225,1,Inorganic
user_41,2020,2500,89,2225,275,2,Inorganic
user_42,2012,2400,100,2400,0,2,Inorganic
user_43,2013,2400,91,2184,216,1,Inorganic
user_44,2014,2200,80,1760,440,2,Inorganic
user_45,2011,2100,88,1848,252,1,Inorganic
user_46,2011,2100,64,1344,756,1,Inorganic
user_47,2020,2020,88,1777.6,242.4,1,Inorganic
user_48,2014,2000,85,1700,300,1,Inorganic
user_49,2014,2000,81,1620,380,2,Inorganic
user_50,2009,1900,100,1900,0,2,Inorganic
user_51,2016,1900,99,1881,19,2,Inorganic
user_52,2014,1900,99,1881,19,1,Inorganic
user_53,2011,1900,98,1862,38,1,Inorganic
user_54,2015,1900,95,1805,95,2,Inorganic
user_55,2010,1900,94,1786,114,2,Inorganic
user_56,2017,1900,76,1444,456,2,Inorganic
user_57,2014,1800,99,1782,18,2,Inorganic
user_58,2016,1800,97,1746,54,2,Inorganic
user_59,2010,1800,97,1746,54,2,Inorganic
user_60,2019,1800,96,1728,72,2,Inorganic
user_61,2012,1700,100,1700,0,2,Inorganic
user_62,2015,1700,100,1700,0,2,Inorganic
user_63,2017,1700,100,1700,0,2,Inorganic
user_64,2017,1700,100,1700,0,2,Inorganic
user_65,2016,1700,100,1700,0,1,Inorganic
user_66,2011,1700,98,1666,34,1,Inorganic
user_67,2013,1700,98,1666,34,2,Inorganic
user_68,2012,1700,89,1513,187,2,Inorganic
user_69,2020,1700,60,1020,680,2,Inorganic
user_70,2011,1600,100,1600,0,1,Inorganic
user_71,2018,1600,100,1600,0,2,Inorganic
user_72,2010,1600,99,1584,16,2,Inorganic
user_73,2014,1600,97,1552,48,1,Inorganic
user_74,2013,1600,97,1552,48,2,Inorganic
user_75,2010,1600,97,1552,48,2,Inorganic
user_76,2011,1600,90,1440,160,2,Inorganic
user_77,2018,1600,87,1392,208,2,Inorganic
user_78,2012,1600,81,1296,304,2,Inorganic
user_79,2011,1600,66,1056,544,2,Inorganic
user_80,2014,1600,51,816,784,2,Inorganic
user_81,2013,1500,100,1500,0,2,Inorganic
user_82,2010,1500,100,1500,0,2,Inorganic
user_83,2019,1500,100,1500,0,2,Inorganic
user_84,2011,1500,99,1485,15,2,Inorganic
user_85,2012,1500,98,1470,30,2,Inorganic
user_86,2012,1500,98,1470,30,2,Inorganic
user_87,2013,1500,98,1470,30,2,Inorganic
user_88,2019,1500,94,1410,90,1,Inorganic
user_89,2020,1500,93,1395,105,1,Inorganic
user_90,2019,1500,93,1395,105,1,Inorganic
user_91,2010,1500,91,1365,135,2,Inorganic
user_92,2013,1500,90,1350,150,2,Inorganic
user_93,2013,1500,90,1350,150,2,Inorganic
user_94,2011,1500,89,1335,165,2,Inorganic
user_95,2010,1500,84,1260,240,2,Inorganic
user_96,2013,1500,80,1200,300,2,Inorganic
user_97,2016,1500,70,1050,450,2,Inorganic
user_98,2017,1500,54,810,690,2,Inorganic
user_99,2013,1400,100,1400,0,2,Inorganic
user_100,2018,1400,100,1400,0,2,Inorganic
user_101,2015,1400,100,1400,0,2,Inorganic
user_102,2014,1400,100,1400,0,2,Inorganic
user_103,2020,1400,100,1400,0,2,Inorganic
user_104,2012,1400,99,1386,14,2,Inorganic
user_105,2011,1400,97,1358,42,2,Inorganic
user_106,2011,1400,97,1358,42,2,Inorganic
user_107,2017,1400,94,1316,84,2,Inorganic
user_108,2016,1400,94,1316,84,2,Inorganic
user_109,2014,1400,91,1274,126,2,Inorganic
